日期,省份,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2019-06-01|2019-06-30,广东省,199749,20.73%,98273,39.99%
2019-06-01|2019-06-30,河南省,81314,8.44%,19264,7.84%
2019-06-01|2019-06-30,浙江省,64127,6.66%,23390,9.52%
2019-06-01|2019-06-30,江苏省,34037,3.53%,12511,5.09%
2019-06-01|2019-06-30,山东省,29299,3.04%,9864,4.01%
2019-06-01|2019-06-30,北京,27474,2.85%,9477,3.86%
2019-06-01|2019-06-30,河北省,24437,2.54%,7690,3.13%
2019-06-01|2019-06-30,上海,24179,2.51%,9529,3.88%
2019-06-01|2019-06-30,福建省,23604,2.45%,8257,3.36%
2019-06-01|2019-06-30,湖北省,15386,1.60%,5847,2.38%
2019-06-01|2019-06-30,湖南省,13429,1.39%,4288,1.75%
2019-06-01|2019-06-30,江西省,12218,1.27%,3944,1.61%
2019-06-01|2019-06-30,山西省,11939,1.24%,2985,1.21%
2019-06-01|2019-06-30,安徽省,11690,1.21%,4455,1.81%
2019-06-01|2019-06-30,四川省,11465,1.19%,3955,1.61%
2019-06-01|2019-06-30,香港特别行政区,8381,0.87%,3006,1.22%
2019-06-01|2019-06-30,广西壮族自治区,7745,0.80%,2470,1.01%
2019-06-01|2019-06-30,辽宁省,7436,0.77%,2331,0.95%
2019-06-01|2019-06-30,陕西省,7173,0.74%,1776,0.72%
2019-06-01|2019-06-30,天津,5397,0.56%,1560,0.63%
2019-06-01|2019-06-30,重庆,4573,0.47%,1434,0.58%
2019-06-01|2019-06-30,黑龙江省,4530,0.47%,1260,0.51%
2019-06-01|2019-06-30,贵州省,4348,0.45%,889,0.36%
2019-06-01|2019-06-30,云南省,4306,0.45%,1061,0.43%
2019-06-01|2019-06-30,台湾,4244,0.44%,1532,0.62%
2019-06-01|2019-06-30,澳门特别行政区,3464,0.36%,1118,0.46%
2019-06-01|2019-06-30,吉林省,2909,0.30%,700,0.28%
2019-06-01|2019-06-30,新疆维吾尔自治区,2178,0.23%,647,0.26%
2019-06-01|2019-06-30,内蒙古自治区,2150,0.22%,495,0.20%
2019-06-01|2019-06-30,甘肃省,1684,0.17%,295,0.12%
2019-06-01|2019-06-30,海南省,962,0.10%,229,0.09%
2019-06-01|2019-06-30,西藏自治区,448,0.05%,143,0.06%
2019-06-01|2019-06-30,宁夏回族自治区,391,0.04%,105,0.04%
2019-06-01|2019-06-30,青海省,311,0.03%,62,0.03%
