日期,省份,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2019-09-01|2019-09-30,广东省,189017,20.25%,91887,41.48%
2019-09-01|2019-09-30,河南省,74254,7.96%,16058,7.25%
2019-09-01|2019-09-30,浙江省,58795,6.30%,20023,9.04%
2019-09-01|2019-09-30,江苏省,31091,3.33%,11261,5.08%
2019-09-01|2019-09-30,山东省,26349,2.82%,8633,3.90%
2019-09-01|2019-09-30,北京,25276,2.71%,8353,3.77%
2019-09-01|2019-09-30,上海,22781,2.44%,8810,3.98%
2019-09-01|2019-09-30,福建省,22144,2.37%,7391,3.34%
2019-09-01|2019-09-30,河北省,20912,2.24%,6204,2.80%
2019-09-01|2019-09-30,湖北省,13799,1.48%,5071,2.29%
2019-09-01|2019-09-30,湖南省,12408,1.33%,3814,1.72%
2019-09-01|2019-09-30,江西省,11622,1.25%,3741,1.69%
2019-09-01|2019-09-30,安徽省,11220,1.20%,4078,1.84%
2019-09-01|2019-09-30,四川省,10583,1.13%,3558,1.61%
2019-09-01|2019-09-30,山西省,10214,1.09%,2461,1.11%
2019-09-01|2019-09-30,香港特别行政区,8199,0.88%,2489,1.12%
2019-09-01|2019-09-30,广西壮族自治区,7611,0.82%,2910,1.31%
2019-09-01|2019-09-30,辽宁省,7045,0.75%,2096,0.95%
2019-09-01|2019-09-30,陕西省,6549,0.70%,1588,0.72%
2019-09-01|2019-09-30,天津,4877,0.52%,1328,0.60%
2019-09-01|2019-09-30,重庆,4263,0.46%,1357,0.61%
2019-09-01|2019-09-30,贵州省,4138,0.44%,881,0.40%
2019-09-01|2019-09-30,台湾,3969,0.43%,1354,0.61%
2019-09-01|2019-09-30,黑龙江省,3887,0.42%,1015,0.46%
2019-09-01|2019-09-30,云南省,3793,0.41%,943,0.43%
2019-09-01|2019-09-30,澳门特别行政区,3195,0.34%,840,0.38%
2019-09-01|2019-09-30,吉林省,2480,0.27%,601,0.27%
2019-09-01|2019-09-30,新疆维吾尔自治区,2122,0.23%,578,0.26%
2019-09-01|2019-09-30,内蒙古自治区,1920,0.21%,435,0.20%
2019-09-01|2019-09-30,甘肃省,1315,0.14%,258,0.12%
2019-09-01|2019-09-30,海南省,855,0.09%,204,0.09%
2019-09-01|2019-09-30,宁夏回族自治区,487,0.05%,98,0.04%
2019-09-01|2019-09-30,西藏自治区,423,0.05%,121,0.05%
2019-09-01|2019-09-30,青海省,326,0.03%,76,0.03%
