日期,省份,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2020-09-01|2020-09-30,广东省,157635,23.20%,77308,42.81%
2020-09-01|2020-09-30,河南省,56520,8.32%,10630,5.89%
2020-09-01|2020-09-30,浙江省,44574,6.56%,15459,8.56%
2020-09-01|2020-09-30,江苏省,24488,3.60%,8883,4.92%
2020-09-01|2020-09-30,山东省,20654,3.04%,5965,3.30%
2020-09-01|2020-09-30,上海,17787,2.62%,6868,3.80%
2020-09-01|2020-09-30,北京,16968,2.50%,5958,3.30%
2020-09-01|2020-09-30,福建省,16683,2.45%,6537,3.62%
2020-09-01|2020-09-30,河北省,13385,1.97%,4113,2.28%
2020-09-01|2020-09-30,湖南省,11808,1.74%,2877,1.59%
2020-09-01|2020-09-30,湖北省,10869,1.60%,3416,1.89%
2020-09-01|2020-09-30,江西省,9513,1.40%,3004,1.66%
2020-09-01|2020-09-30,四川省,8763,1.29%,2764,1.53%
2020-09-01|2020-09-30,安徽省,8740,1.29%,3343,1.85%
2020-09-01|2020-09-30,山西省,8577,1.26%,1811,1.00%
2020-09-01|2020-09-30,香港特别行政区,7770,1.14%,1572,0.87%
2020-09-01|2020-09-30,辽宁省,5353,0.79%,1515,0.84%
2020-09-01|2020-09-30,广西壮族自治区,5317,0.78%,1433,0.79%
2020-09-01|2020-09-30,陕西省,4456,0.66%,1143,0.63%
2020-09-01|2020-09-30,重庆,3729,0.55%,1119,0.62%
2020-09-01|2020-09-30,贵州省,3680,0.54%,658,0.36%
2020-09-01|2020-09-30,天津,3198,0.47%,910,0.50%
2020-09-01|2020-09-30,台湾,3114,0.46%,839,0.46%
2020-09-01|2020-09-30,云南省,3085,0.45%,824,0.46%
2020-09-01|2020-09-30,黑龙江省,2778,0.41%,558,0.31%
2020-09-01|2020-09-30,澳门特别行政区,2165,0.32%,557,0.31%
2020-09-01|2020-09-30,吉林省,1755,0.26%,433,0.24%
2020-09-01|2020-09-30,新疆维吾尔自治区,1662,0.24%,491,0.27%
2020-09-01|2020-09-30,内蒙古自治区,1423,0.21%,303,0.17%
2020-09-01|2020-09-30,甘肃省,1018,0.15%,186,0.10%
2020-09-01|2020-09-30,海南省,673,0.10%,133,0.07%
2020-09-01|2020-09-30,宁夏回族自治区,427,0.06%,82,0.05%
2020-09-01|2020-09-30,西藏自治区,223,0.03%,66,0.04%
2020-09-01|2020-09-30,青海省,178,0.03%,27,0.01%
