日期,省份,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2018-11-01|2018-11-30,广东省,193978,21.61%,100181,41.04%
2018-11-01|2018-11-30,河南省,63389,7.06%,18201,7.46%
2018-11-01|2018-11-30,浙江省,59597,6.64%,22835,9.36%
2018-11-01|2018-11-30,江苏省,34201,3.81%,13039,5.34%
2018-11-01|2018-11-30,山东省,25642,2.86%,9112,3.73%
2018-11-01|2018-11-30,北京,25476,2.84%,9630,3.95%
2018-11-01|2018-11-30,河北省,25104,2.80%,8812,3.61%
2018-11-01|2018-11-30,上海,24878,2.77%,10275,4.21%
2018-11-01|2018-11-30,福建省,20601,2.30%,7772,3.18%
2018-11-01|2018-11-30,湖北省,14392,1.60%,5842,2.39%
2018-11-01|2018-11-30,山西省,12432,1.39%,3531,1.45%
2018-11-01|2018-11-30,湖南省,12133,1.35%,4034,1.65%
2018-11-01|2018-11-30,四川省,11116,1.24%,3969,1.63%
2018-11-01|2018-11-30,安徽省,10632,1.18%,4330,1.77%
2018-11-01|2018-11-30,江西省,10022,1.12%,3507,1.44%
2018-11-01|2018-11-30,辽宁省,7266,0.81%,2400,0.98%
2018-11-01|2018-11-30,广西壮族自治区,6848,0.76%,1974,0.81%
2018-11-01|2018-11-30,陕西省,5868,0.65%,1635,0.67%
2018-11-01|2018-11-30,香港特别行政区,4937,0.55%,1994,0.82%
2018-11-01|2018-11-30,天津,4426,0.49%,1373,0.56%
2018-11-01|2018-11-30,重庆,4397,0.49%,1452,0.59%
2018-11-01|2018-11-30,云南省,4366,0.49%,1068,0.44%
2018-11-01|2018-11-30,贵州省,3917,0.44%,979,0.40%
2018-11-01|2018-11-30,黑龙江省,3823,0.43%,987,0.40%
2018-11-01|2018-11-30,吉林省,2697,0.30%,754,0.31%
2018-11-01|2018-11-30,台湾,2676,0.30%,1115,0.46%
2018-11-01|2018-11-30,澳门特别行政区,2008,0.22%,776,0.32%
2018-11-01|2018-11-30,内蒙古自治区,1881,0.21%,464,0.19%
2018-11-01|2018-11-30,新疆维吾尔自治区,1687,0.19%,512,0.21%
2018-11-01|2018-11-30,甘肃省,1436,0.16%,329,0.13%
2018-11-01|2018-11-30,海南省,872,0.10%,238,0.10%
2018-11-01|2018-11-30,宁夏回族自治区,410,0.05%,99,0.04%
2018-11-01|2018-11-30,西藏自治区,325,0.04%,100,0.04%
2018-11-01|2018-11-30,青海省,259,0.03%,49,0.02%
