日期,省份,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2020-02-01|2020-02-29,广东省,154721,21.85%,63284,46.28%
2020-02-01|2020-02-29,河南省,50804,7.17%,7157,5.23%
2020-02-01|2020-02-29,浙江省,44072,6.22%,11416,8.35%
2020-02-01|2020-02-29,江苏省,24641,3.48%,7328,5.36%
2020-02-01|2020-02-29,山东省,21048,2.97%,5136,3.76%
2020-02-01|2020-02-29,北京,18665,2.64%,4658,3.41%
2020-02-01|2020-02-29,上海,18562,2.62%,5875,4.30%
2020-02-01|2020-02-29,福建省,15862,2.24%,4112,3.01%
2020-02-01|2020-02-29,河北省,14860,2.10%,3313,2.42%
2020-02-01|2020-02-29,湖北省,11930,1.68%,2707,1.98%
2020-02-01|2020-02-29,湖南省,10760,1.52%,2305,1.69%
2020-02-01|2020-02-29,四川省,8748,1.24%,2342,1.71%
2020-02-01|2020-02-29,安徽省,8680,1.23%,2754,2.01%
2020-02-01|2020-02-29,江西省,8444,1.19%,2211,1.62%
2020-02-01|2020-02-29,山西省,7138,1.01%,1242,0.91%
2020-02-01|2020-02-29,香港特别行政区,6409,0.90%,943,0.69%
2020-02-01|2020-02-29,广西壮族自治区,5935,0.84%,1585,1.16%
2020-02-01|2020-02-29,辽宁省,5662,0.80%,1423,1.04%
2020-02-01|2020-02-29,陕西省,4738,0.67%,861,0.63%
2020-02-01|2020-02-29,重庆,3510,0.50%,870,0.64%
2020-02-01|2020-02-29,天津,3478,0.49%,771,0.56%
2020-02-01|2020-02-29,贵州省,3397,0.48%,517,0.38%
2020-02-01|2020-02-29,台湾,3047,0.43%,587,0.43%
2020-02-01|2020-02-29,黑龙江省,2844,0.40%,583,0.43%
2020-02-01|2020-02-29,云南省,2723,0.38%,507,0.37%
2020-02-01|2020-02-29,澳门特别行政区,2281,0.32%,339,0.25%
2020-02-01|2020-02-29,吉林省,1730,0.24%,374,0.27%
2020-02-01|2020-02-29,新疆维吾尔自治区,1639,0.23%,279,0.20%
2020-02-01|2020-02-29,内蒙古自治区,1490,0.21%,250,0.18%
2020-02-01|2020-02-29,甘肃省,1004,0.14%,153,0.11%
2020-02-01|2020-02-29,海南省,691,0.10%,124,0.09%
2020-02-01|2020-02-29,宁夏回族自治区,319,0.04%,58,0.04%
2020-02-01|2020-02-29,西藏自治区,306,0.04%,62,0.05%
2020-02-01|2020-02-29,青海省,218,0.03%,25,0.02%
