日期,省份,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2020-06-01|2020-06-30,广东省,164556,24.03%,81544,43.43%
2020-06-01|2020-06-30,河南省,50690,7.40%,12162,6.48%
2020-06-01|2020-06-30,浙江省,46783,6.83%,17203,9.16%
2020-06-01|2020-06-30,江苏省,25881,3.78%,9604,5.11%
2020-06-01|2020-06-30,山东省,22096,3.23%,7040,3.75%
2020-06-01|2020-06-30,上海,18909,2.76%,7314,3.90%
2020-06-01|2020-06-30,北京,18215,2.66%,6320,3.37%
2020-06-01|2020-06-30,福建省,16892,2.47%,5583,2.97%
2020-06-01|2020-06-30,河北省,14990,2.19%,4795,2.55%
2020-06-01|2020-06-30,湖北省,12166,1.78%,4080,2.17%
2020-06-01|2020-06-30,湖南省,12052,1.76%,3309,1.76%
2020-06-01|2020-06-30,江西省,9607,1.40%,3203,1.71%
2020-06-01|2020-06-30,安徽省,9334,1.36%,3575,1.90%
2020-06-01|2020-06-30,四川省,9270,1.35%,3103,1.65%
2020-06-01|2020-06-30,山西省,8640,1.26%,2120,1.13%
2020-06-01|2020-06-30,广西壮族自治区,6568,0.96%,2105,1.12%
2020-06-01|2020-06-30,香港特别行政区,6483,0.95%,1694,0.90%
2020-06-01|2020-06-30,辽宁省,5957,0.87%,1811,0.96%
2020-06-01|2020-06-30,陕西省,4778,0.70%,1296,0.69%
2020-06-01|2020-06-30,重庆,3899,0.57%,1206,0.64%
2020-06-01|2020-06-30,贵州省,3727,0.54%,914,0.49%
2020-06-01|2020-06-30,天津,3407,0.50%,996,0.53%
2020-06-01|2020-06-30,云南省,3232,0.47%,948,0.50%
2020-06-01|2020-06-30,黑龙江省,3073,0.45%,799,0.43%
2020-06-01|2020-06-30,台湾,2963,0.43%,1004,0.53%
2020-06-01|2020-06-30,澳门特别行政区,2144,0.31%,614,0.33%
2020-06-01|2020-06-30,吉林省,1776,0.26%,467,0.25%
2020-06-01|2020-06-30,内蒙古自治区,1549,0.23%,379,0.20%
2020-06-01|2020-06-30,新疆维吾尔自治区,1525,0.22%,467,0.25%
2020-06-01|2020-06-30,甘肃省,1104,0.16%,220,0.12%
2020-06-01|2020-06-30,海南省,761,0.11%,147,0.08%
2020-06-01|2020-06-30,宁夏回族自治区,343,0.05%,80,0.04%
2020-06-01|2020-06-30,西藏自治区,268,0.04%,82,0.04%
2020-06-01|2020-06-30,青海省,175,0.03%,27,0.01%
