日期,省份,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2019-05-01|2019-05-31,广东省,200445,19.68%,98948,39.78%
2019-05-01|2019-05-31,河南省,81176,7.97%,19708,7.92%
2019-05-01|2019-05-31,浙江省,64325,6.32%,23602,9.49%
2019-05-01|2019-05-31,江苏省,34240,3.36%,12880,5.18%
2019-05-01|2019-05-31,山东省,29455,2.89%,10015,4.03%
2019-05-01|2019-05-31,北京,27514,2.70%,9578,3.85%
2019-05-01|2019-05-31,河北省,24987,2.45%,8211,3.30%
2019-05-01|2019-05-31,上海,24245,2.38%,9629,3.87%
2019-05-01|2019-05-31,福建省,23426,2.30%,8296,3.34%
2019-05-01|2019-05-31,湖北省,15484,1.52%,5995,2.41%
2019-05-01|2019-05-31,湖南省,13439,1.32%,4283,1.72%
2019-05-01|2019-05-31,山西省,12355,1.21%,3172,1.28%
2019-05-01|2019-05-31,江西省,12101,1.19%,3997,1.61%
2019-05-01|2019-05-31,安徽省,11712,1.15%,4453,1.79%
2019-05-01|2019-05-31,四川省,11495,1.13%,4014,1.61%
2019-05-01|2019-05-31,香港特别行政区,8014,0.79%,3053,1.23%
2019-05-01|2019-05-31,广西壮族自治区,7673,0.75%,2313,0.93%
2019-05-01|2019-05-31,辽宁省,7555,0.74%,2363,0.95%
2019-05-01|2019-05-31,陕西省,7322,0.72%,1806,0.73%
2019-05-01|2019-05-31,天津,5444,0.53%,1554,0.62%
2019-05-01|2019-05-31,重庆,4514,0.44%,1464,0.59%
2019-05-01|2019-05-31,云南省,4459,0.44%,1101,0.44%
2019-05-01|2019-05-31,黑龙江省,4327,0.42%,1084,0.44%
2019-05-01|2019-05-31,贵州省,4213,0.41%,869,0.35%
2019-05-01|2019-05-31,台湾,4169,0.41%,1595,0.64%
2019-05-01|2019-05-31,澳门特别行政区,3399,0.33%,1149,0.46%
2019-05-01|2019-05-31,吉林省,2944,0.29%,728,0.29%
2019-05-01|2019-05-31,内蒙古自治区,2167,0.21%,509,0.20%
2019-05-01|2019-05-31,新疆维吾尔自治区,2147,0.21%,686,0.28%
2019-05-01|2019-05-31,甘肃省,1705,0.17%,333,0.13%
2019-05-01|2019-05-31,海南省,953,0.09%,221,0.09%
2019-05-01|2019-05-31,西藏自治区,444,0.04%,159,0.06%
2019-05-01|2019-05-31,宁夏回族自治区,424,0.04%,112,0.04%
2019-05-01|2019-05-31,青海省,313,0.03%,79,0.03%
