日期,省份,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2018-04-01|2018-04-30,广东省,186073,23.75%,102716,50.13%
2018-04-01|2018-04-30,浙江省,53913,6.88%,23477,11.46%
2018-04-01|2018-04-30,河南省,50687,6.47%,17862,8.72%
2018-04-01|2018-04-30,江苏省,31924,4.07%,13604,6.64%
2018-04-01|2018-04-30,上海,24320,3.10%,10926,5.33%
2018-04-01|2018-04-30,北京,24281,3.10%,10194,4.98%
2018-04-01|2018-04-30,河北省,23712,3.03%,10043,4.90%
2018-04-01|2018-04-30,山东省,21558,2.75%,8430,4.11%
2018-04-01|2018-04-30,福建省,17273,2.20%,7615,3.72%
2018-04-01|2018-04-30,湖北省,13175,1.68%,5973,2.92%
2018-04-01|2018-04-30,山西省,12801,1.63%,3696,1.80%
2018-04-01|2018-04-30,湖南省,10395,1.33%,4297,2.10%
2018-04-01|2018-04-30,安徽省,10027,1.28%,4338,2.12%
2018-04-01|2018-04-30,四川省,9468,1.21%,3764,1.84%
2018-04-01|2018-04-30,江西省,8627,1.10%,3449,1.68%
2018-04-01|2018-04-30,辽宁省,6648,0.85%,2425,1.18%
2018-04-01|2018-04-30,广西壮族自治区,5317,0.68%,1702,0.83%
2018-04-01|2018-04-30,陕西省,4970,0.63%,1574,0.77%
2018-04-01|2018-04-30,重庆,3827,0.49%,1417,0.69%
2018-04-01|2018-04-30,天津,3825,0.49%,1348,0.66%
2018-04-01|2018-04-30,黑龙江省,3393,0.43%,993,0.48%
2018-04-01|2018-04-30,云南省,2814,0.36%,778,0.38%
2018-04-01|2018-04-30,吉林省,2118,0.27%,672,0.33%
2018-04-01|2018-04-30,贵州省,1940,0.25%,511,0.25%
2018-04-01|2018-04-30,香港特别行政区,1918,0.24%,1023,0.50%
2018-04-01|2018-04-30,内蒙古自治区,1607,0.21%,468,0.23%
2018-04-01|2018-04-30,甘肃省,1329,0.17%,361,0.18%
2018-04-01|2018-04-30,台湾,1026,0.13%,525,0.26%
2018-04-01|2018-04-30,新疆维吾尔自治区,1008,0.13%,344,0.17%
2018-04-01|2018-04-30,海南省,746,0.10%,258,0.13%
2018-04-01|2018-04-30,澳门特别行政区,630,0.08%,324,0.16%
2018-04-01|2018-04-30,宁夏回族自治区,385,0.05%,102,0.05%
2018-04-01|2018-04-30,西藏自治区,188,0.02%,92,0.04%
2018-04-01|2018-04-30,青海省,156,0.02%,53,0.03%
